Lat,Lon
36.8584957,30.8785647
40.397611,-105.097685
35.0,105.0
35.0,105.0
35.0,105.0
62.0,15.0
62.0,10.0
35.0,105.0
35.0,105.0
40.397611,-105.097685
40.397611,-105.097685
36.341432,-83.338693
35.0,105.0
35.0,105.0
35.0,105.0
38.33703,-77.767418
35.0,105.0
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
35.0,105.0
35.0,105.0
49.83465,18.28204
35.0,105.0
37.28255,-90.63734
48.2618918,11.666948
35.0,105.0
54.75844,-2.69531
54.75844,-2.69531
,
35.0,105.0
62.0,10.0
35.0,105.0
47.8528227,1.9111125
35.0,105.0
35.0,105.0
35.0,105.0
35.0,105.0
47.33333,13.33333
37.6736516,-121.7072096
35.0,105.0
50.75,4.5
35.0,105.0
35.0,105.0
35.0,105.0
45.417208,-75.7079985
42.3616283,-71.081069
60.10867,-113.64258
40.397611,-105.097685
35.0,105.0
35.0,105.0
35.0,105.0
30.6108618,-96.3520606
37.687781,-121.7083093
37.687781,-121.7083093
35.0,105.0
35.0,105.0
40.0022905,116.320963
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
35.0,105.0
,
45.417208,-75.7079985
51.5,10.5
42.83333,12.83333
35.0,105.0
43.128127,-77.632763
35.0,105.0
35.0,105.0
1.28967,103.85007
35.0,105.0
28.6244782,77.3591772
47.8528227,1.9111125
35.6898046,139.7613158
35.6898046,139.7613158
35.0,105.0
34.234834,-78.004346
48.390413,-115.574347
42.66667,25.25
34.088934,-88.505164
40.7434467,-73.9722189
46.453571,4.564357
62.0,15.0
35.0,105.0
36.341432,-83.338693
51.5,10.5
32.741644,-117.179792
35.0,105.0
35.0,105.0
60.0,100.0
36.341432,-83.338693
35.0,105.0
35.460274,-81.253072
40.7292053,-73.9950148
35.0,105.0
35.0,105.0
39.1802358,-86.5093526
35.0,105.0
33.4213174,-111.9331631
35.0,105.0
35.0,105.0
35.0,105.0
42.3657432,-71.1222139
35.0,105.0
35.0,105.0
52.25,5.75
52.25,5.75
52.25,5.75
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
51.5,10.5
52.25,5.75
54.75844,-2.69531
30.4801362,-97.7931805
35.0,105.0
53.0,-8.0
53.0,-8.0
62.0,10.0
47.00016,8.01427
54.75844,-2.69531
54.75844,-2.69531
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
52.1238555,21.3362914
35.0,105.0
35.0,105.0
52.4522956,-1.9312857
49.1018534,8.4331202
35.0,105.0
35.0,105.0
35.0,105.0
23.9494015,38.2920459
45.896045,6.719227
35.0,105.0
34.294325,109.1196978
35.0,105.0
47.33333,13.33333
24.7826067,120.9956004
31.79426,-94.174438
52.2109456,0.092005
35.0,105.0
49.7870718,6.0897434
35.0,105.0
35.0,105.0
35.0,105.0
35.0,105.0
,
22.4273197,114.2032796
35.0,105.0
36.7699807,127.0630792
33.4213174,-111.9331631
52.2109456,0.092005
45.1996822,5.7031246
60.0,100.0
30.4801362,-97.7931805
23.9494015,38.2920459
35.0,105.0
35.0,105.0
47.8528227,1.9111125
40.7434467,-73.9722189
35.0,105.0
35.0,105.0
35.68536,139.75309
50.7338124,7.1022465
39.3302022,-76.6218536
44.8829372,-0.5719606
51.5,10.5
40.397611,-105.097685
40.397611,-105.097685
35.0,105.0
35.0,105.0
35.0,105.0
35.0,105.0
35.0,105.0
35.0,105.0
52.4557414,13.2979865
-37.7960951,144.9614459
33.4386876,-88.7943232
-34.9189226,138.6042367
35.460274,-81.253072
40.393222,-105.17349
53.5687706,10.1112157
